run_id,concurrency,call_id,turn_index,row_kind,category,status,call_error,turn_error,client_latency_s,think_time_s,turn_duration_s,user_speech_s,turn_start_ts,turn_end_ts,eou_s,stt_s,endpointing_s,ttft_s,llm_total_s,llm_tokens,tts_s,tts_audio_s,cancelled,total_s,call_start_ts,call_end_ts
1790084223,16,12,0,paired,long,finalizada,,,2.418127854994964,2.454716724641727,12.745,3.06,1790084235.144,1790084247.889,1.001,0.57,0.431,0.238,1.284,28,0.142,5.87,False,1.381,1790084224.622,1790084294.774
1790084223,16,12,1,paired,medium,finalizada,,,1.902460388999316,2.1791989459130985,7.785,2.12,1790084250.344,1790084258.129,0.503,0.495,0.007,0.12,0.278,12,0.165,2.41,False,0.788,1790084224.622,1790084294.774
1790084223,16,12,2,paired,short,finalizada,,,1.7542194779962301,1.2749359276826682,5.91,0.48,1790084260.308,1790084266.218,0.388,0.381,0.007,0.101,0.251,12,0.142,2.41,False,0.631,1790084224.622,1790084294.774
1790084223,16,12,3,paired,medium,finalizada,,,1.8132008379907347,2.8189646883686574,7.962,2.24,1790084267.494,1790084275.457,0.412,0.405,0.007,0.103,0.265,13,0.158,3.61,False,0.673,1790084224.622,1790084294.774
1790084223,16,12,4,paired,short,finalizada,,,2.079421681992244,1.8397339553183387,7.053,0.32,1790084278.276,1790084285.329,1.001,0.431,0.57,0.137,0.363,17,0.145,3.3,False,1.283,1790084224.622,1790084294.774
1790084223,16,12,5,paired,short,finalizada,,,1.6663769840088207,1.2861725128867707,6.273,1.0,1790084287.169,1790084293.442,0.517,0.51,0.007,0.158,0.322,13,0.14,2.57,False,0.815,1790084224.622,1790084294.774
1790084223,16,13,0,paired,short,finalizada,,,2.2588303619995713,4.174812339507893,14.983,0.32,1790084234.875,1790084249.859,1.0,0.397,0.604,0.179,1.292,44,0.102,11.64,False,1.281,1790084224.889,1790084310.396
1790084223,16,13,1,paired,short,finalizada,,,2.042191635002382,1.810807400429192,8.98,0.48,1790084254.034,1790084263.014,0.443,0.437,0.005,0.118,0.455,25,0.176,6.5,False,0.738,1790084224.889,1790084310.396
1790084223,16,13,2,paired,short,finalizada,,,2.0113476970000193,2.102473222347534,11.001,1.0,1790084264.825,1790084275.827,1.001,0.467,0.534,0.116,0.617,36,0.127,8.83,False,1.243,1790084224.889,1790084310.396
1790084223,16,13,3,paired,short,finalizada,,,2.1392317920108326,1.2652008733079483,12.202,0.48,1790084277.93,1790084290.132,0.443,0.437,0.006,0.162,0.732,36,0.129,8.91,False,0.734,1790084224.889,1790084310.396
1790084223,16,13,4,paired,short,finalizada,,,1.995171766000567,2.634040607910268,11.575,0.48,1790084291.397,1790084302.972,0.438,0.432,0.006,0.176,0.768,36,0.125,12.91,False,0.74,1790084224.889,1790084310.396
