call_id,paso,concurrencia_obj,t_prog,t_inicio,t_conectado,saludo_s,t_fin,turnos_plan,turnos_cliente,turnos_server,turnos_sin_resp,status,ended_reason,error,mic_lag_max_s,workflow_status,outcome,wer,cortes
88276a6e-cc3b-489b-84a3-c968eeb54274,e0_4,4,1790377168.009,1790377168.011,1790377168.239,0.843,1790377252.493,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.058,5
cb51282c-a830-45d8-aca7-4a1f6598cd60,e0_4,4,1790377172.765,1790377172.766,1790377172.954,0.837,1790377258.654,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.042,6
a61b70d2-86ec-4f54-9d42-30e20688e8a7,e0_4,4,1790377171.239,1790377171.24,1790377171.428,0.914,1790377267.024,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.077,8
a4ff7331-6f1d-47af-8ea2-117eac960d84,e0_4,4,1790377198.737,1790377198.737,1790377198.929,0.922,1790377270.886,5,5,5,0,finalizada,customer_hangup,,0.0,completed,,0.083,6
603467cb-c239-48da-9970-3c51877436e4,e0_4,4,1790377177.325,1790377177.327,1790377177.591,3.34,1790377272.142,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.057,7
771787e5-beb6-4760-8e2e-fdfcb586ee21,e0_4,4,1790377212.762,1790377212.763,1790377212.955,1.065,1790377289.299,6,6,6,0,finalizada,customer_hangup,,0.0,completed,,0.15,8
2d2c1ef0-fa3e-4c22-96c5-9d6eb2180030,e0_4,4,1790377202.54,1790377202.54,1790377202.725,0.945,1790377301.775,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.083,10
86d56498-1323-48a7-8b79-c750039bec22,e0_4,4,1790377224.375,1790377224.375,1790377224.563,0.918,1790377331.086,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.033,9
54f8efd6-7744-475d-868a-18c5b43c2596,e0_4,4,1790377250.406,1790377250.406,1790377250.599,1.002,1790377353.969,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.022,6
fcf9849e-efe2-462a-a910-8f1b8189072f,e0_4,4,1790377276.832,1790377276.833,1790377277.07,3.312,1790377356.983,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.044,6
34e44625-1103-4f2e-8e61-ce61faf088c6,e0_4,4,1790377274.541,1790377274.542,1790377274.777,3.754,1790377414.565,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.019,16
87b8da9f-27f0-41eb-a937-8489035f9e10,e1_8,8,1790377293.356,1790377293.362,1790377293.57,0.86,1790377348.84,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.0,2
ca426295-4e8c-4943-b1ed-71a06216b3e2,e1_8,8,1790377294.41,1790377294.411,1790377294.596,0.925,1790377355.852,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.071,3
dfddfd8a-ebe3-403c-b65d-2d3162a0b18c,e1_8,8,1790377330.931,1790377330.932,1790377331.164,0.877,1790377388.774,4,4,4,0,finalizada,customer_hangup,,0.0,completed,,0.031,3
4a46b8bf-2c03-4ad6-808f-9906c0e56f54,e1_8,8,1790377303.398,1790377303.398,1790377303.593,0.877,1790377405.795,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.0,14
03f865cc-109a-4ef1-a4d7-13438fac822c,e1_8,8,1790377347.624,1790377347.625,1790377347.817,0.823,1790377431.641,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.022,7
80679d1a-4541-4261-b869-4fa6288c796b,e1_8,8,1790377329.925,1790377329.926,1790377330.162,1.159,1790377442.612,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.053,15
51b34380-0792-4968-87ff-9745fcef500c,e1_8,8,1790377385.729,1790377385.729,1790377385.961,3.349,1790377448.814,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.048,4
