componente,medida,unidad,escala,base,por_llamada_mb,r2,max,proyeccion_64,proyeccion_128
agent,cache,GB,False,0.148,0.0,0.501,0.148,0.148,0.148
agent,pss,GB,True,0.813,101.77,0.988,13.62,7.174,13.535
agent,ram_usada,GB,True,0.756,104.06,0.987,13.888,7.26,13.763
app,cache,GB,False,0.037,0.0,1.0,0.037,0.037,0.037
app,pss,GB,False,0.106,0.0,0.292,0.106,0.106,0.106
app,ram_usada,GB,False,0.107,0.0,0.379,0.107,0.107,0.107
asterisk,cache,GB,False,0.018,0.0,0.001,0.018,0.018,0.018
asterisk,ram_usada,GB,False,0.005,0.0,0.001,0.005,0.005,0.005
db,cache,GB,False,0.166,0.0,0.347,0.166,0.166,0.166
db,ram_usada,GB,False,0.479,0.0,0.533,0.479,0.479,0.479
fuera_del_stack,ram_usada,GB,False,5.03,0.0,0.418,5.03,5.03,5.03
host,cache,GB,False,26.174,0.0,0.359,26.174,26.174,26.174
host,ram_usada,GB,True,16.801,111.29,0.984,30.788,23.756,30.712
livekit,cache,GB,False,0.044,0.0,0.165,0.044,0.044,0.044
livekit,ram_usada,GB,True,0.076,4.97,0.772,0.724,0.387,0.698
livekit-redis,cache,GB,False,0.008,0.0,1.0,0.008,0.008,0.008
livekit-redis,ram_usada,GB,False,0.007,0.0,0.429,0.007,0.007,0.007
livekit-sip,cache,GB,False,0.035,0.0,1.0,0.035,0.035,0.035
livekit-sip,ram_usada,GB,False,0.012,0.0,0.165,0.012,0.012,0.012
proxy,cache,GB,False,0.002,0.0,1.0,0.002,0.002,0.002
proxy,ram_usada,GB,False,0.012,0.0,0.165,0.012,0.012,0.012
stt-parakeet,cache,GB,False,2.564,0.0,0.07,2.564,2.564,2.564
stt-parakeet,ram_usada,GB,False,1.348,0.0,0.439,1.348,1.348,1.348
stt-parakeet,vram,MiB,False,2096.0,0.0,0.497,2096.0,2096.0,2096.0
vllm-llm,cache,GB,False,11.346,0.0,0.478,11.346,11.346,11.346
vllm-llm,ram_usada,GB,False,3.424,0.0,0.425,3.424,3.424,3.424
vllm-llm,vram,MiB,False,22710.0,0.0,0.063,22710.0,22710.0,22710.0
vllm-tts,cache,GB,False,6.761,0.0,0.328,6.761,6.761,6.761
vllm-tts,ram_usada,GB,False,5.914,0.0,0.56,5.914,5.914,5.914
vllm-tts,vram,MiB,False,13108.0,0.0,0.52,13108.0,13108.0,13108.0
