call_id,paso,concurrencia_obj,turno,categoria,texto,transcripcion,wer,t_habla,t_fin_envio,t_resp,t_fin_resp,espera_s,resp_s,cortes_n,cortes_s,error,pausa_s,apareado,eou,stt,endpointing,llm,llm_total,tts,total,e2e
88276a6e-cc3b-489b-84a3-c968eeb54274,e0_4,4,0,medium,"No, la verdad que todavia no lo lleve al service.","No, la verdad que todavía no lo lleve al servicio.",0.1,1790377175.61,1790377177.831,1790377179.841,1790377186.243,2.01,6.402,2,0.72,,1.135,1,0.696,0.681,0.015,0.132,0.397,0.042,0.87,0.946
88276a6e-cc3b-489b-84a3-c968eeb54274,e0_4,4,1,long,"Mas o menos, tuve un par de dudas con el manual pero nada grave.","Más o menos, tuve un par de dudas con el manual, pero nada grave.",0.0,1790377187.378,1790377190.431,1790377191.92,1790377197.081,1.489,5.161,0,0,,4.855,1,0.402,0.397,0.005,0.116,0.369,0.04,0.558,0.809
88276a6e-cc3b-489b-84a3-c968eeb54274,e0_4,4,2,short,Perfecto.,Perfecto.,0.0,1790377201.937,1790377202.412,1790377203.88,1790377209.776,1.469,5.896,0,0,,4.41,1,0.401,0.383,0.017,0.16,0.69,0.069,0.629,0.763
88276a6e-cc3b-489b-84a3-c968eeb54274,e0_4,4,3,medium,"No, la verdad que todavia no lo lleve al service.","No, la verdad que todavía no lo lleve al servicio.",0.1,1790377214.187,1790377216.411,1790377217.68,1790377223.081,1.269,5.401,1,0.36,,3.137,1,0.4,0.387,0.013,0.14,0.369,0.042,0.582,0.664
88276a6e-cc3b-489b-84a3-c968eeb54274,e0_4,4,4,medium,"No, la verdad que todavia no lo lleve al service.","No, la verdad que todavía no lo lleve al servicio.",0.1,1790377226.22,1790377228.451,1790377229.761,1790377235.242,1.31,5.482,1,0.32,,5.232,1,0.401,0.39,0.011,0.155,0.467,0.063,0.619,0.708
88276a6e-cc3b-489b-84a3-c968eeb54274,e0_4,4,5,medium,"Hola, buenas tardes, si, te escucho bien.","Hola, buenas tardes. Sí, te escucho bien.",0.0,1790377240.475,1790377243.071,1790377244.76,1790377251.34,1.69,6.58,1,0.32,,1.148,1,0.4,0.381,0.019,0.17,0.487,0.071,0.641,0.778
cb51282c-a830-45d8-aca7-4a1f6598cd60,e0_4,4,0,medium,"No, la verdad que todavia no lo lleve al service.","No, la verdad que todavía no lo lleve al servicio.",0.1,1790377180.401,1790377182.622,1790377184.151,1790377190.598,1.529,6.448,0,0,,2.82,1,0.51,0.493,0.017,0.123,0.421,0.065,0.698,0.809
cb51282c-a830-45d8-aca7-4a1f6598cd60,e0_4,4,1,short,No.,no,0.0,1790377193.419,1790377193.722,1790377195.35,1790377200.675,1.628,5.324,1,0.4,,1.0,1,1.001,0.367,0.634,0.116,0.396,0.045,1.162,1.048
cb51282c-a830-45d8-aca7-4a1f6598cd60,e0_4,4,2,short,"Dale, de acuerdo.","Dale, de acuerdo.",0.0,1790377201.676,1790377202.662,1790377204.511,1790377216.286,1.849,11.775,2,1.6,,3.704,1,1.001,0.44,0.561,0.134,0.931,0.07,1.204,1.072
cb51282c-a830-45d8-aca7-4a1f6598cd60,e0_4,4,3,medium,"Perfecto, muchas gracias por la informacion.","Perfecto, muchas gracias por la información.",0.0,1790377219.99,1790377222.102,1790377223.511,1790377233.483,1.409,9.972,2,0.96,,1.0,1,0.401,0.383,0.018,0.154,0.676,0.099,0.654,0.773
cb51282c-a830-45d8-aca7-4a1f6598cd60,e0_4,4,4,short,"Dale, de acuerdo.","Dale, de acuerdo.",0.0,1790377234.484,1790377235.482,1790377237.59,1790377246.84,2.108,9.249,1,0.4,,3.115,1,1.0,0.378,0.623,0.248,0.899,0.069,1.317,1.072
cb51282c-a830-45d8-aca7-4a1f6598cd60,e0_4,4,5,short,No.,no,0.0,1790377249.955,1790377250.262,1790377251.991,1790377257.281,1.729,5.289,0,0,,1.368,1,1.001,0.424,0.577,0.2,0.44,0.089,1.29,1.092
a61b70d2-86ec-4f54-9d42-30e20688e8a7,e0_4,4,0,short,"Dale, de acuerdo.","Dale, de acuerdo.",0.0,1790377178.877,1790377179.858,1790377182.021,1790377199.626,2.163,17.605,4,1.479,,1.0,1,0.616,0.601,0.015,0.129,1.057,0.042,0.787,1.429
