desde,concurrencia,turnos,espera_p50,espera_p95,sin_respuesta,cpu_host,agente_cores,gpu0,gpu1,mem_stt-parakeet,mem_app,mem_agent,mem_livekit-sip,mem_livekit,mem_vllm-tts,mem_vllm-llm,mem_proxy,mem_livekit-redis,mem_db,mem_asterisk,mem_host,mem_fuera_del_stack
1790377168,3.5,6,1.611,2.125,0,9.3,0.37,16.7,39.5,1.31,0.11,0.96,0.01,0.04,5.9,3.39,0.01,0.0,0.37,0.01,16.9,4.8
1790377198,6.5,14,1.633,1.8,0,13.3,0.68,36.9,50.4,1.31,0.11,1.27,0.01,0.05,5.9,3.4,0.01,0.0,0.37,0.0,17.26,4.81
1790377228,8.1,17,1.69,2.194,0,15.1,0.85,27.6,48.5,1.31,0.11,1.48,0.01,0.06,5.9,3.4,0.01,0.0,0.37,0.01,17.49,4.82
1790377258,6.2,13,1.534,1.895,0,12.5,0.65,52.8,43.7,1.31,0.11,1.29,0.01,0.07,5.9,3.4,0.01,0.0,0.38,0.01,17.28,4.8
1790377288,6.7,14,1.516,1.922,0,14.7,0.72,37.6,58.9,1.31,0.11,1.31,0.01,0.06,5.9,3.4,0.01,0.0,0.38,0.01,17.32,4.81
1790377318,7.7,15,1.733,2.11,0,14.9,0.81,27.7,51.0,1.31,0.11,1.42,0.01,0.07,5.9,3.4,0.01,0.0,0.38,0.01,17.42,4.8
1790377348,5.8,10,1.499,2.121,0,12.3,0.63,29.5,47.4,1.32,0.11,1.28,0.01,0.07,5.9,3.4,0.01,0.0,0.38,0.01,17.29,4.81
1790377378,6.7,14,1.628,1.847,0,14.1,0.71,36.7,54.1,1.31,0.11,1.29,0.01,0.07,5.9,3.4,0.01,0.0,0.38,0.01,17.29,4.8
1790377408,10.4,16,1.7,2.069,0,20.8,1.14,40.9,74.5,1.31,0.11,1.65,0.01,0.07,5.9,3.4,0.01,0.0,0.39,0.01,17.68,4.81
1790377438,16.1,31,1.843,2.255,0,27.7,1.79,48.4,77.8,1.31,0.11,2.22,0.01,0.1,5.9,3.4,0.01,0.0,0.42,0.01,18.32,4.83
1790377468,21.0,44,1.885,2.574,0,35.1,2.36,69.4,90.6,1.32,0.11,2.79,0.01,0.13,5.91,3.4,0.01,0.01,0.42,0.01,18.94,4.85
1790377498,18.8,42,1.829,2.301,0,32.0,2.07,73.3,78.2,1.32,0.11,2.63,0.01,0.14,5.91,3.4,0.01,0.01,0.42,0.01,18.8,4.85
1790377528,14.8,26,1.788,2.242,0,26.0,1.66,64.8,71.9,1.32,0.11,2.18,0.01,0.13,5.91,3.4,0.01,0.01,0.42,0.01,18.31,4.82
1790377558,21.7,41,1.95,2.756,0,36.3,2.52,64.7,92.1,1.32,0.11,2.77,0.01,0.13,5.91,3.4,0.01,0.01,0.42,0.01,18.93,4.84
1790377588,29.4,55,2.078,2.745,0,45.8,3.53,96.7,95.6,1.32,0.11,3.58,0.01,0.17,5.91,3.42,0.01,0.01,0.43,0.01,19.81,4.85
1790377618,33.6,64,2.375,3.028,0,52.3,4.14,89.1,97.8,1.32,0.11,4.02,0.01,0.19,5.91,3.42,0.01,0.01,0.43,0.01,20.28,4.85
1790377648,42.2,77,2.745,3.505,0,64.6,5.55,93.3,97.9,1.32,0.11,4.81,0.01,0.23,5.91,3.42,0.01,0.01,0.43,0.01,21.13,4.87
1790377678,58.2,96,3.898,5.116,0,90.0,8.32,96.5,95.8,1.33,0.11,6.47,0.01,0.31,5.91,3.42,0.01,0.01,0.44,0.01,22.88,4.86
1790377708,66.4,101,5.037,6.446,2,98.9,9.54,97.9,94.8,1.34,0.11,7.56,0.01,0.37,5.91,3.42,0.01,0.01,0.45,0.01,24.04,4.86
1790377738,73.3,106,6.569,8.851,5,99.5,9.94,94.5,93.2,1.33,0.11,8.31,0.01,0.4,5.91,3.42,0.01,0.01,0.45,0.01,24.84,4.87
1790377768,85.7,109,6.981,13.386,21,99.8,10.26,94.7,87.2,1.34,0.11,9.73,0.01,0.44,5.91,3.42,0.01,0.01,0.46,0.01,26.37,4.92
1790377798,107.6,129,5.545,12.673,57,99.9,10.36,91.0,79.5,1.34,0.11,11.61,0.01,0.53,5.91,3.42,0.01,0.01,0.47,0.01,28.45,5.02
1790377828,127.2,170,1.561,13.512,79,99.9,10.51,91.7,83.1,1.34,0.11,13.19,0.01,0.63,5.91,3.42,0.01,0.01,0.48,0.01,30.13,5.02
1790377858,139.1,177,-0.841,14.372,76,99.9,10.6,91.9,77.5,1.34,0.11,13.81,0.01,0.71,5.91,3.42,0.01,0.01,0.48,0.01,30.71,4.89
1790377888,100.7,138,1.333,13.851,30,99.8,10.08,95.2,77.9,1.34,0.11,12.07,0.01,0.72,5.91,3.42,0.01,0.01,0.48,0.01,28.87,4.78
1790377918,65.3,93,5.132,13.131,4,99.6,9.88,98.9,85.4,1.34,0.11,8.76,0.01,0.65,5.91,3.42,0.01,0.01,0.48,0.01,25.48,4.77
1790377948,34.6,63,2.155,9.074,1,78.6,7.2,90.2,92.0,1.34,0.11,5.22,0.01,0.47,5.91,3.42,0.01,0.01,0.48,0.01,21.82,4.83
1790377978,10.6,15,1.896,2.264,0,19.6,1.22,56.9,62.5,1.35,0.11,2.09,0.01,0.36,5.91,3.42,0.01,0.01,0.47,0.01,18.59,4.83
1790378008,3.2,6,1.648,1.843,0,7.3,0.34,27.1,20.5,1.35,0.11,1.06,0.01,0.34,5.91,3.42,0.01,0.01,0.47,0.01,17.51,4.81
1790378038,0.4,0,,,0,2.9,0.06,3.3,0.1,1.35,0.11,0.71,0.01,0.18,5.91,3.42,0.01,0.01,0.47,0.01,17.02,4.83
