call_id,paso,concurrencia_obj,t_prog,t_inicio,t_conectado,saludo_s,t_fin,turnos_plan,turnos_cliente,turnos_server,turnos_sin_resp,status,ended_reason,error,mic_lag_max_s,workflow_status,outcome,wer,cortes
b8265168-7cb0-450f-a6f5-ad57943a9edc,e0_1,1,1790383007.843,1790383007.843,1790383009.085,1.261,1790383084.022,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.025,3
af815114-dbd0-4fcc-97fd-a738d0b9f242,e0_1,1,1790383090.078,1790383090.078,1790383090.27,0.955,1790383203.489,8,8,8,0,finalizada,customer_hangup,,0.0,completed,,0.0,9
f1e6f301-7af1-4eea-b82a-4f13a9036cae,e0_1,1,1790383207.555,1790383207.555,1790383207.747,0.948,1790383279.694,4,4,4,0,finalizada,customer_hangup,,0.0,completed,,0.111,7
8074049e-baf3-48d2-b040-6e44c541ef10,e0_1,1,1790383283.728,1790383283.728,1790383283.917,0.998,1790383396.893,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.0,12
6f9ae4cc-3423-4f56-9a46-ff75bbac7f73,e0_1,1,1790383401.934,1790383401.934,1790383402.133,0.903,1790383463.975,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.03,3
374c5a72-5180-41d5-a166-9734be028cdb,e0_1,1,1790383469.028,1790383469.028,1790383469.222,0.944,1790383553.979,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.091,7
72553b1a-e5d4-4379-a123-8b769a716386,e0_1,1,1790383559.025,1790383559.025,1790383559.224,0.961,1790383619.131,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.0,5
bf29e4b8-176e-48b1-9741-c1f25b4053e8,e0_1,1,1790383624.175,1790383624.175,1790383624.367,0.988,1790383726.102,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.0,5
2290f263-3972-45c9-80e4-f9c40cf87850,e0_1,1,1790383731.145,1790383731.145,1790383731.337,0.958,1790383801.017,4,4,4,0,finalizada,customer_hangup,,0.0,completed,,0.037,8
175364da-9757-47ec-9201-2dd32953ca71,e0_1,1,1790383805.058,1790383805.058,1790383805.255,0.91,1790383903.664,6,6,6,0,finalizada,customer_hangup,,0.0,completed,,0.031,8
