call_id,paso,concurrencia_obj,turno,categoria,texto,transcripcion,wer,t_habla,t_fin_envio,t_resp,t_fin_resp,espera_s,resp_s,cortes_n,cortes_s,error,pausa_s,apareado,eou,stt,endpointing,llm,llm_total,tts,total,e2e
b8265168-7cb0-450f-a6f5-ad57943a9edc,e0_1,1,0,long,"Si, el auto esta andando barbaro, sin ningun problema hasta ahora.","Sí, el auto está andando barbaro, sin ningún problema hasta ahora.",0.0,1790383017.038,1790383020.54,1790383022.185,1790383028.442,1.645,6.258,0,0,,3.688,1,0.428,0.414,0.014,0.127,0.455,0.066,0.621,0.939
b8265168-7cb0-450f-a6f5-ad57943a9edc,e0_1,1,1,medium,"Perfecto, muchas gracias por la informacion.","Perfecto, muchas gracias por la información.",0.0,1790383032.131,1790383034.239,1790383035.825,1790383040.801,1.586,4.976,0,0,,1.618,1,0.401,0.377,0.025,0.119,0.355,0.071,0.591,0.805
b8265168-7cb0-450f-a6f5-ad57943a9edc,e0_1,1,2,long,"Si, el auto esta andando barbaro, sin ningun problema hasta ahora.","Sí, el auto está andando barbaro, sin ningún problema hasta ahora.",0.0,1790383042.42,1790383045.939,1790383047.545,1790383053.523,1.605,5.978,1,0.4,,2.416,1,0.404,0.399,0.005,0.131,0.403,0.066,0.602,0.871
b8265168-7cb0-450f-a6f5-ad57943a9edc,e0_1,1,3,short,Si.,C.,1.0,1790383055.94,1790383056.32,1790383058.145,1790383064.077,1.825,5.932,1,0.36,,1.985,1,1.001,0.377,0.624,0.134,0.399,0.071,1.206,1.074
b8265168-7cb0-450f-a6f5-ad57943a9edc,e0_1,1,4,long,"Si, el auto esta andando barbaro, sin ningun problema hasta ahora.","Sí, el auto está andando barbaro, sin ningún problema hasta ahora.",0.0,1790383066.063,1790383069.58,1790383071.185,1790383077.28,1.605,6.095,1,0.36,,6.735,1,0.4,0.386,0.015,0.143,0.409,0.067,0.611,0.864
af815114-dbd0-4fcc-97fd-a738d0b9f242,e0_1,1,0,long,"Si, el auto esta andando barbaro, sin ningun problema hasta ahora.","Sí, el auto está andando barbaro, sin ningún problema hasta ahora.",0.0,1790383097.883,1790383101.385,1790383103.025,1790383109.517,1.64,6.493,1,0.36,,1.327,1,0.403,0.389,0.014,0.122,0.455,0.069,0.595,0.916
af815114-dbd0-4fcc-97fd-a738d0b9f242,e0_1,1,1,long,"Mas o menos, tuve un par de dudas con el manual pero nada grave.","Más o menos, tuve un par de dudas con el manual, pero nada grave.",0.0,1790383110.845,1790383113.904,1790383115.505,1790383121.195,1.601,5.69,1,0.321,,2.332,1,0.4,0.389,0.012,0.118,0.383,0.066,0.585,0.842
af815114-dbd0-4fcc-97fd-a738d0b9f242,e0_1,1,2,medium,"Perfecto, muchas gracias por la informacion.","Perfecto, muchas gracias por la información.",0.0,1790383123.528,1790383125.644,1790383126.905,1790383132.866,1.26,5.961,2,0.84,,3.093,1,0.402,0.374,0.028,0.128,0.41,0.068,0.598,0.665
af815114-dbd0-4fcc-97fd-a738d0b9f242,e0_1,1,3,long,"Si, el auto esta andando barbaro, sin ningun problema hasta ahora.","Sí, el auto está andando barbaro, sin ningún problema hasta ahora.",0.0,1790383135.961,1790383139.465,1790383141.185,1790383147.679,1.72,6.494,1,0.32,,3.379,1,0.401,0.384,0.017,0.137,0.474,0.069,0.607,0.93
af815114-dbd0-4fcc-97fd-a738d0b9f242,e0_1,1,4,long,"Si, el auto esta andando barbaro, sin ningun problema hasta ahora.","Sí, el auto está andando barbaro, sin ningún problema hasta ahora.",0.0,1790383151.059,1790383154.565,1790383156.465,1790383162.684,1.9,6.219,2,0.841,,1.653,1,0.4,0.384,0.016,0.147,0.483,0.066,0.612,0.937
af815114-dbd0-4fcc-97fd-a738d0b9f242,e0_1,1,5,long,"Si, el auto esta andando barbaro, sin ningun problema hasta ahora.","Sí, el auto está andando barbaro, sin ningún problema hasta ahora.",0.0,1790383164.338,1790383167.844,1790383169.585,1790383175.447,1.741,5.862,0,0,,2.137,1,0.4,0.384,0.016,0.174,0.514,0.07,0.644,0.971
af815114-dbd0-4fcc-97fd-a738d0b9f242,e0_1,1,6,short,Perfecto.,Perfecto.,0.0,1790383177.585,1790383178.064,1790383179.545,1790383184.557,1.481,5.012,0,0,,2.835,1,0.401,0.362,0.039,0.049,0.291,0.067,0.517,0.723
af815114-dbd0-4fcc-97fd-a738d0b9f242,e0_1,1,7,short,No.,no,0.0,1790383187.393,1790383187.703,1790383189.745,1790383195.797,2.042,6.052,2,1.12,,7.685,1,1.0,0.361,0.639,0.058,0.328,0.07,1.129,1.073
