call_id,paso,concurrencia_obj,t_prog,t_inicio,t_conectado,saludo_s,t_fin,turnos_plan,turnos_cliente,turnos_server,turnos_sin_resp,status,ended_reason,error,mic_lag_max_s,workflow_status,outcome,wer,cortes
94a444fc-2fe0-4edc-855a-ac2ac1f768b6,e0_4,4,1790384225.222,1790384225.222,1790384225.418,1.204,1790384286.344,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.0,3
460254a6-0e0c-49e3-8254-d8322de5fd50,e0_4,4,1790384253.526,1790384253.526,1790384253.721,1.182,1790384317.924,5,5,5,0,finalizada,customer_hangup,,0.0,completed,,0.062,4
4216babb-1080-45d5-9b65-f7920ad28096,e0_4,4,1790384250.4,1790384250.401,1790384250.594,0.988,1790384320.857,4,4,4,0,finalizada,customer_hangup,,0.0,completed,,0.042,7
c4564625-aa24-48d5-9991-10367eb837e6,e0_4,4,1790384215.248,1790384215.25,1790384215.474,1.098,1790384324.289,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.028,14
124ae556-3360-4ad3-88d2-f123f4aa77ea,e0_4,4,1790384256.065,1790384256.066,1790384256.258,0.994,1790384410.657,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.027,19
54556a3c-cb9a-40d5-8781-64904feff601,e1_8,8,1790384358.78,1790384358.803,1790384359.065,3.412,1790384421.933,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.067,1
1dff57b4-2cc0-438c-a671-5a3a5e264368,e1_8,8,1790384402.307,1790384402.308,1790384402.502,0.955,1790384466.663,4,4,4,0,finalizada,customer_hangup,,0.0,completed,,0.036,5
09e1ae39-c326-4cb2-a75d-1d8c8f8f7858,e1_8,8,1790384374.261,1790384374.262,1790384374.504,3.433,1790384482.057,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.065,7
5eff1026-9bff-4da5-8421-0254ce52089c,e1_8,8,1790384445.171,1790384445.172,1790384445.364,1.013,1790384509.266,4,4,4,0,finalizada,customer_hangup,,0.0,completed,,0.08,2
911a5d33-5f38-4173-8391-82743b290051,e1_8,8,1790384433.191,1790384433.192,1790384433.385,0.942,1790384509.231,5,5,5,0,finalizada,customer_hangup,,0.0,completed,,0.273,7
d369fbb5-97bd-4719-9c49-8831c30ed48e,e1_8,8,1790384454.985,1790384454.986,1790384455.239,3.499,1790384533.246,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.0,5
5378a8be-460f-44d4-8261-0fe1c78d780c,e2_16,16,1790384480.979,1790384480.98,1790384481.166,1.035,1790384539.616,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.0,3
299d5e45-43b6-4176-a896-fae3944bf38c,e2_16,16,1790384482.638,1790384482.639,1790384482.824,1.166,1790384557.623,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.03,6
452a21a7-7528-42f1-8be8-f052f4238c26,e2_16,16,1790384487.3,1790384487.3,1790384487.492,0.909,1790384562.079,6,6,6,0,finalizada,customer_hangup,,0.0,completed,,0.077,4
23c50574-2210-4f6c-b4b0-5547ad1175f8,e2_16,16,1790384465.731,1790384465.732,1790384465.925,0.995,1790384567.791,7,7,7,0,finalizada,customer_hangup,,0.0,completed,,0.02,8
280a3747-f20b-45e6-a2ab-4730ce3d13fc,e2_16,16,1790384457.069,1790384457.07,1790384457.329,3.411,1790384579.714,8,8,8,0,finalizada,customer_hangup,,0.0,completed,,0.033,9
ede7ac2e-4380-49c1-878f-aab093414a6a,e2_16,16,1790384508.289,1790384508.289,1790384508.481,1.18,1790384586.039,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.034,7
eaabf59a-bf70-4d80-a28c-454e03b67413,e2_16,16,1790384559.265,1790384559.265,1790384559.452,0.969,1790384616.227,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.0,5
3cf40371-8275-41db-89c4-4f9a8dcb1303,e2_16,16,1790384555.324,1790384555.324,1790384555.514,1.257,1790384629.457,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.136,3
d62dc1f9-d3b0-46e4-91a9-d51fc6283f85,e2_16,16,1790384550.947,1790384550.948,1790384551.184,1.277,1790384641.802,6,6,6,0,finalizada,customer_hangup,,0.0,completed,,0.03,4
94a2c2bc-7b51-4097-b375-cd27d159f79a,e2_16,16,1790384530.203,1790384530.203,1790384530.448,3.682,1790384644.807,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.015,7
faeb48ba-c4e4-4a61-af7e-13598504d094,e2_16,16,1790384540.913,1790384540.913,1790384541.118,1.003,1790384655.361,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.0,11
21a8cd22-15c2-4585-bdda-8678986d4eaa,e2_16,16,1790384575.182,1790384575.182,1790384575.374,0.976,1790384698.181,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.057,12
8576cfc5-5d8f-43e4-883b-e093e4a5a21e,e2_16,16,1790384476.944,1790384476.945,1790384477.142,0.996,1790384550.588,6,6,6,0,finalizada,customer_hangup,,0.0,completed,,0.024,1
ef21682e-fb97-49db-879f-0b5070b3b68a,e2_16,16,1790384460.64,1790384460.646,1790384460.864,0.954,1790384560.885,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.018,5
ba8ccd20-2c91-4cd5-94ab-e3105ff93dcc,e2_16,16,1790384482.01,1790384482.01,1790384482.251,3.396,1790384575.44,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.036,7
20e2b0fd-0595-4c31-bcfe-8c51398d64d6,e2_16,16,1790384503.427,1790384503.427,1790384503.622,0.956,1790384588.972,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.0,4
cd3f5ee8-a4ed-4029-bd26-5a2b3275ba50,e2_16,16,1790384485.285,1790384485.287,1790384485.476,1.481,1790384591.459,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.0,8
820978fb-3924-4db6-9d62-3274ca1abc10,e2_16,16,1790384509.892,1790384509.892,1790384510.134,1.484,1790384597.883,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.143,8
9250d084-8fe0-4dae-90b7-fd1413b8c6d0,e2_16,16,1790384533.807,1790384533.807,1790384533.996,1.142,1790384604.682,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.038,7
f46065c9-b3e6-4649-9b8a-83c8758b30c9,e2_16,16,1790384554.982,1790384554.983,1790384555.177,1.251,1790384648.175,6,6,6,0,finalizada,customer_hangup,,0.0,completed,,0.0,9
c6dc30ef-9ddc-4859-8179-91bf1c9f1171,e2_16,16,1790384548.649,1790384548.649,1790384548.837,1.301,1790384651.62,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.0,7
fca06fc7-2170-42ab-88e9-9e2cd14cc0c6,e2_16,16,1790384572.636,1790384572.637,1790384572.825,0.993,1790384662.365,5,5,5,0,finalizada,customer_hangup,,0.0,completed,,0.103,5
2e5f39ec-fe22-4f26-ab81-9b3cc41cad0c,e2_16,16,1790384558.557,1790384558.557,1790384558.795,3.393,1790384678.071,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.019,6
f2163bc9-b252-44bf-9e10-bf823f7ff3fc,e3_32,32,1790384584.583,1790384584.584,1790384584.842,3.476,1790384666.133,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.0,5
a1b3c90e-853c-40d6-b3d3-a4df8ffd4f44,e3_32,32,1790384598.941,1790384598.942,1790384599.136,1.332,1790384669.99,5,5,5,0,finalizada,customer_hangup,,0.0,completed,,0.0,3
e01c075f-21b2-4cd8-a6e4-4255fa8baa97,e3_32,32,1790384607.411,1790384607.411,1790384607.611,1.547,1790384687.764,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.067,5
ccf73dc9-50d9-40c3-99f8-80cb67b317d8,e3_32,32,1790384592.841,1790384592.842,1790384593.036,1.472,1790384692.331,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.074,8
b84c3e85-0cc5-4747-9b6c-6af9aeea72d5,e3_32,32,1790384617.825,1790384617.826,1790384618.018,1.38,1790384708.334,6,6,6,0,finalizada,customer_hangup,,0.0,active,,0.021,7
f3f573c5-df6b-4c32-98ad-6f8c0c43fc3a,e3_32,32,1790384636.55,1790384636.551,1790384636.75,1.148,1790384713.52,5,5,5,0,finalizada,customer_hangup,,0.0,completed,,0.024,6
07a6caa8-ec2c-43f3-acac-63d589bcbfad,e3_32,32,1790384654.71,1790384654.711,1790384654.903,1.545,1790384723.71,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.062,3
0dc1e1e4-b243-463c-8ba7-f7ee805b85d7,e3_32,32,1790384649.954,1790384649.955,1790384650.199,1.669,1790384759.879,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.025,6
203f560c-9384-490b-9f5a-16d41ae01837,e3_32,32,1790384674.749,1790384674.749,1790384674.99,2.289,1790384761.525,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.042,3
0bbf9151-48fd-40a4-9487-4d7aa3f246a3,e3_32,32,1790384663.733,1790384663.733,1790384663.929,1.819,1790384786.467,8,8,8,0,finalizada,customer_hangup,,0.0,completed,,0.04,5
9442b394-2846-4bf8-a9aa-b5393997e80a,e3_32,32,1790384689.109,1790384689.109,1790384689.303,2.035,1790384794.096,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.042,5
c6b2307e-970c-4ac5-9c4f-9459a222296e,e3_32,32,1790384684.354,1790384684.354,1790384684.595,1.353,1790384793.375,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.029,7
8de7c670-9ff5-4fb8-bd5e-ca673d0418da,e3_32,32,1790384691.805,1790384691.806,1790384692.016,2.072,1790384826.833,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.0,14
1109ca03-6b6f-42fa-84ac-a311b0cab838,e3_32,32,1790384611.962,1790384611.963,1790384612.173,1.265,1790384671.626,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.4,4
b80eddf1-4ed5-41e6-8f2f-d0c780f4ef7b,e3_32,32,1790384587.098,1790384587.108,1790384587.316,1.122,1790384700.243,6,6,6,0,finalizada,customer_hangup,,0.0,completed,,0.026,13
2f3432ff-7acd-4c15-819b-6687288600ea,e3_32,32,1790384592.858,1790384592.858,1790384593.049,1.689,1790384702.933,8,8,8,0,finalizada,customer_hangup,,0.0,active,,0.025,6
a41616e6-a4ec-4e04-98c4-420acc41540d,e3_32,32,1790384600.541,1790384600.542,1790384600.739,1.249,1790384702.298,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.036,5
9c596a09-df24-4794-8c8d-60bb0ffa7430,e3_32,32,1790384620.42,1790384620.421,1790384620.608,1.37,1790384715.742,6,6,6,0,finalizada,customer_hangup,,0.0,completed,,0.091,8
445a847e-e6aa-4f9b-bf24-ef8fe3ef829c,e3_32,32,1790384651.745,1790384651.746,1790384651.948,1.35,1790384714.871,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.05,5
4c5f3e02-9792-4d17-ab0c-a73963aff443,e3_32,32,1790384642.096,1790384642.096,1790384642.291,1.227,1790384739.363,6,6,6,0,finalizada,customer_hangup,,0.0,completed,,0.049,7
d678a404-cada-45dd-b5cc-307865450ad0,e3_32,32,1790384665.783,1790384665.784,1790384665.977,1.971,1790384736.754,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.071,4
578391e6-3eb5-4012-9471-d18217d00248,e3_32,32,1790384688.331,1790384688.332,1790384688.537,1.832,1790384750.042,4,4,4,0,finalizada,customer_hangup,,0.0,active,,0.167,1
660a28b2-8eba-4369-856c-7b06fa001e25,e3_32,32,1790384689.326,1790384689.326,1790384689.524,2.314,1790384770.187,5,5,5,0,finalizada,customer_hangup,,0.0,active,,0.061,5
643307bc-fa2b-4177-aa7c-39cff8ea12b3,e3_32,32,1790384654.868,1790384654.869,1790384655.062,1.526,1790384783.847,8,8,8,0,finalizada,customer_hangup,,0.0,completed,,0.018,10
738d3994-03b1-4430-b455-f44440381cc3,e3_32,32,1790384677.445,1790384677.446,1790384677.635,2.584,1790384822.528,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.0,14
e843ec7c-1160-4008-b671-bca352bc9a12,e3_32,32,1790384593.061,1790384593.062,1790384593.247,1.412,1790384646.503,4,4,4,0,finalizada,customer_hangup,,0.0,completed,,0.069,3
4f41b7a8-fec5-44f9-b8f0-1e4c0cfff009,e3_32,32,1790384601.469,1790384601.469,1790384601.66,1.188,1790384717.816,8,8,8,0,finalizada,customer_hangup,,0.0,completed,,0.065,9
dc955530-4e48-4e21-b8ec-551f3870270c,e3_32,32,1790384591.854,1790384591.868,1790384592.073,1.396,1790384725.041,7,7,7,0,finalizada,customer_hangup,,0.0,active,,0.029,10
