componente,medida,unidad,escala,base,por_llamada_mb,r2,max,proyeccion_64,proyeccion_128
agent,cache,GB,False,0.16,0.0,0.625,0.16,0.16,0.16
agent,pss,GB,True,0.645,110.4,0.992,12.835,7.546,14.446
agent,ram_usada,GB,True,0.575,113.3,0.99,13.121,7.656,14.738
ajeno:chrome,vram,MiB,True,46.66,1.18,0.725,220.433,121.897,197.134
app,cache,GB,False,0.036,0.0,0.0,0.036,0.036,0.036
app,pss,GB,False,0.102,0.0,0.001,0.102,0.102,0.102
app,ram_usada,GB,False,0.101,0.0,0.532,0.101,0.101,0.101
asterisk,cache,GB,False,0.019,0.0,0.0,0.019,0.019,0.019
asterisk,ram_usada,GB,False,0.005,0.0,0.0,0.005,0.005,0.005
db,cache,GB,False,0.147,0.0,0.555,0.147,0.147,0.147
db,ram_usada,GB,True,0.386,1.0,0.685,0.48,0.449,0.511
fuera_del_stack,ram_usada,GB,True,7.08,4.63,0.766,7.615,7.369,7.658
host,cache,GB,True,25.729,1.67,0.614,25.912,25.833,25.938
host,ram_usada,GB,True,18.997,123.86,0.986,32.876,26.739,34.48
livekit,cache,GB,False,0.044,0.0,1.0,0.044,0.044,0.044
livekit,ram_usada,GB,True,0.057,5.36,0.811,0.664,0.392,0.727
livekit-redis,cache,GB,False,0.008,0.0,1.0,0.008,0.008,0.008
livekit-redis,ram_usada,GB,False,0.006,0.0,0.671,0.006,0.006,0.006
livekit-sip,cache,GB,False,0.035,0.0,1.0,0.035,0.035,0.035
livekit-sip,ram_usada,GB,False,0.012,0.0,1.0,0.012,0.012,0.012
proxy,cache,GB,False,0.003,0.0,1.0,0.003,0.003,0.003
proxy,ram_usada,GB,False,0.012,0.0,1.0,0.012,0.012,0.012
stt-parakeet,cache,GB,False,0.02,0.0,0.535,0.02,0.02,0.02
stt-parakeet,ram_usada,GB,False,1.349,0.0,0.556,1.349,1.349,1.349
stt-parakeet,vram,MiB,True,1563.918,5.93,0.622,2180.0,1943.123,2322.327
vllm-llm,cache,GB,False,9.911,0.0,0.148,9.911,9.911,9.911
vllm-llm,ram_usada,GB,False,3.53,0.0,0.436,3.53,3.53,3.53
vllm-llm,vram,MiB,False,15616.0,0.0,1.0,15616.0,15616.0,15616.0
vllm-tts,cache,GB,False,0.64,0.0,0.002,0.64,0.64,0.64
vllm-tts,ram_usada,GB,False,6.287,0.0,0.002,6.287,6.287,6.287
vllm-tts,vram,MiB,False,7664.0,0.0,0.002,7664.0,7664.0,7664.0
