desde,concurrencia,turnos,espera_p50,espera_p95,sin_respuesta,cpu_host,agente_cores,gpu0,gpu1,mem_vllm-tts,mem_vllm-llm,mem_stt-parakeet,mem_app,mem_agent,mem_livekit-sip,mem_livekit,mem_proxy,mem_livekit-redis,mem_db,mem_asterisk,mem_host,mem_fuera_del_stack
1790384154,1.3,3,1.647,1.976,0,6.5,0.15,17.9,11.3,6.27,3.5,1.3,0.1,0.76,0.01,0.03,0.01,0.0,0.36,0.01,19.35,7.01
1790384184,2.7,3,1.628,1.869,0,9.0,0.28,22.9,11.2,6.27,3.5,1.3,0.1,0.91,0.01,0.04,0.01,0.0,0.36,0.01,19.52,7.01
1790384214,4.6,12,1.823,2.088,0,13.9,0.51,46.1,18.4,6.27,3.5,1.3,0.1,1.1,0.01,0.04,0.01,0.0,0.37,0.01,19.76,7.05
1790384244,5.4,9,1.829,2.186,0,15.4,0.59,55.5,35.9,6.27,3.5,1.3,0.1,1.18,0.01,0.05,0.01,0.0,0.37,0.01,19.86,7.07
1790384274,4.6,8,1.703,1.804,0,10.5,0.48,29.0,26.3,6.27,3.5,1.3,0.1,1.14,0.01,0.06,0.01,0.0,0.37,0.01,19.87,7.11
1790384304,2.7,5,1.809,2.175,0,8.6,0.31,31.6,16.9,6.27,3.5,1.3,0.1,0.95,0.01,0.06,0.01,0.0,0.37,0.01,19.63,7.06
1790384334,1.2,3,1.596,1.651,0,4.5,0.14,8.4,6.7,6.27,3.5,1.3,0.1,0.76,0.01,0.05,0.01,0.0,0.37,0.01,19.42,7.04
1790384364,2.7,5,1.874,1.992,0,8.5,0.28,32.7,10.6,6.27,3.5,1.3,0.1,0.9,0.01,0.05,0.01,0.0,0.37,0.01,19.53,7.02
1790384394,3.2,6,1.796,2.03,0,9.3,0.34,25.2,12.1,6.27,3.5,1.3,0.1,0.98,0.01,0.05,0.01,0.0,0.37,0.01,19.67,7.08
1790384424,3.0,5,1.856,2.21,0,9.5,0.32,36.0,19.0,6.27,3.5,1.3,0.1,0.93,0.01,0.05,0.01,0.0,0.37,0.01,19.59,7.04
1790384454,7.3,13,1.819,2.088,0,16.4,0.8,61.4,23.5,6.27,3.5,1.3,0.1,1.31,0.01,0.06,0.01,0.0,0.37,0.01,20.01,7.07
1790384484,12.3,25,1.883,2.026,0,22.9,1.3,74.6,47.3,6.27,3.5,1.3,0.1,1.85,0.01,0.08,0.01,0.0,0.41,0.01,20.61,7.07
1790384514,13.5,30,1.879,2.16,0,25.1,1.45,77.4,58.0,6.27,3.5,1.3,0.1,2.02,0.01,0.09,0.01,0.0,0.41,0.01,20.85,7.13
1790384544,15.8,29,1.905,2.424,0,30.0,1.8,84.4,69.0,6.27,3.5,1.3,0.1,2.23,0.01,0.1,0.01,0.0,0.41,0.01,21.12,7.17
1790384574,17.6,32,2.107,2.713,0,30.9,2.03,88.8,64.7,6.27,3.51,1.3,0.1,2.38,0.01,0.12,0.01,0.0,0.41,0.01,21.35,7.22
1790384604,25.5,51,2.191,3.031,0,42.5,2.97,93.9,88.4,6.27,3.51,1.3,0.1,3.2,0.01,0.15,0.01,0.01,0.42,0.01,22.22,7.23
1790384634,30.5,60,2.355,3.214,0,49.2,3.67,90.2,89.6,6.27,3.51,1.3,0.1,3.7,0.01,0.17,0.01,0.01,0.42,0.01,22.75,7.24
1790384664,36.5,66,2.566,3.376,0,56.8,4.63,96.8,83.6,6.28,3.51,1.3,0.1,4.34,0.01,0.21,0.01,0.01,0.43,0.01,23.41,7.22
1790384694,40.4,75,2.765,3.543,0,65.1,5.21,97.5,100.0,6.28,3.51,1.3,0.1,4.84,0.01,0.24,0.01,0.01,0.43,0.01,23.95,7.21
1790384724,45.9,78,3.453,4.958,0,75.7,6.19,96.7,96.6,6.28,3.52,1.3,0.1,5.27,0.01,0.25,0.01,0.01,0.43,0.01,24.45,7.26
1790384754,60.9,102,5.306,7.616,2,94.3,8.35,94.4,89.6,6.28,3.52,1.32,0.1,6.7,0.01,0.31,0.01,0.01,0.44,0.01,26.25,7.54
1790384784,73.4,119,7.538,11.39,4,99.5,9.6,94.8,97.3,6.28,3.52,1.32,0.1,8.38,0.01,0.39,0.01,0.01,0.45,0.01,28.05,7.58
1790384814,80.3,112,8.624,13.223,14,99.7,9.84,89.3,97.4,6.28,3.52,1.33,0.1,9.27,0.01,0.43,0.01,0.01,0.46,0.01,28.92,7.5
1790384844,92.4,131,1.173,13.564,32,99.7,10.0,81.6,99.5,6.29,3.52,1.34,0.1,10.58,0.01,0.49,0.01,0.01,0.47,0.01,30.3,7.49
