nombre	openslr	genero	wer	car_s
sofia	arf_03034	mujer	3.0	16.8
valentina	arf_02121	mujer	2.3	18.2
martina	arf_00295	mujer	2.5	17.9
camila	arf_00610	mujer	2.5	17.0
lucia	arf_01208	mujer	3.3	17.5
julieta	arf_01523	mujer	3.0	16.2
florencia	arf_02436	mujer	2.8	15.4
agustina	arf_02484	mujer	2.6	18.4
carolina	arf_03349	mujer	1.8	14.8
mariana	arf_03397	mujer	2.3	16.2
paula	arf_03853	mujer	2.6	17.1
romina	arf_04310	mujer	2.5	17.4
natalia	arf_04766	mujer	2.5	18.6
gabriela	arf_05223	mujer	2.1	16.3
silvina	arf_05679	mujer	3.9	18.0
laura	arf_06136	mujer	2.1	14.9
andrea	arf_06592	mujer	2.5	16.4
veronica	arf_07049	mujer	2.1	17.1
lorena	arf_07060	mujer	4.6	16.6
daniela	arf_07505	mujer	2.3	17.1
micaela	arf_07508	mujer	3.3	17.0
rocio	arf_07973	mujer	2.8	16.0
belen	arf_08421	mujer	3.7	15.6
milagros	arf_08784	mujer	2.6	15.5
antonella	arf_08886	mujer	4.4	18.8
carla	arf_09334	mujer	3.0	18.3
jimena	arf_09697	mujer	1.1	17.7
noelia	arf_09799	mujer	3.2	16.3
martin	arm_08784	hombre	2.3	15.3
lucas	arm_06136	hombre	1.9	15.1
mateo	arm_00610	hombre	3.2	15.9
santiago	arm_01523	hombre	5.1	18.7
nicolas	arm_02484	hombre	3.0	17.2
facundo	arm_03397	hombre	3.0	18.8
joaquin	arm_04310	hombre	4.6	16.7
tomas	arm_05223	hombre	1.8	17.8
federico	arm_07049	hombre	5.1	19.5
gonzalo	arm_07508	hombre	4.2	16.7
diego	arm_08421	hombre	2.5	17.3
pablo	arm_09334	hombre	2.8	18.5
emiliano	arm_09697	hombre	5.8	16.5
